Subject,Content
교통,"안녕하세요,황학동롯데캐슬 정류장(고유번호 02273)을거의 매일 이용하는 시민입니다.정류장에 도착안내 전광판이 없어서 참으로 불편한데요,7월○○일에 중구청 쪽에 민원을 넣었었는데서울시 담당이라 그쪽으로 이관하신다더군요.오늘이 8월 ○○일인데 언제쯤 설치가 될까요?만약 설치 불가라면 왜 그런지 이유라도 알려주시고요.아무튼 빠른 설치 부탁드립니다."
교통,"어젯밤 새벽, 서울시 무인 자전거 시스템 <따릉이>를 처음 이용해봤습니다.아이폰 이용자라 회원가입과 절차가 많아 번거로웠지만,무사히 결제까지 마치고 자전거만 분리해서 꺼내면 되는 일이었습니다.그런데 문제의 <자전거 분리> 과정.안내 음성은 오른쪽 잠금 장치를 해제하라고 했고,동그란 잠금 장치를 어떻게 빼내야 할지 몰랐던 저는 선을 잡아당기는 모션을취하다가 단 10초만에 <반납되었습니다> 라는 안내 음성을 들어야했어요.자전거 안장에 올라보지도 못하고 겪은 어이없는 일이었습니다.어두운 밤이었기 때문에 오른쪽 잠금장치를 어떻게 빼내야하는 지도 몰랐고,설명 역시 직관적이지 못했습니다.20대 젊은이 축에 끼는 저도 이리 헤매는데, 전국민이 이용하기엔얼마나 어렵고 불편한 시스템인가요?저의 바보 같은 실수를 보고, 일행이 도전해봤지만일행 역시 10초도 되지 않아 <반납되었습니다> 란 멘트를 들어야했습니다.그렇게 둘은 2000원을 소위 날리고야 말았네요.민원 전화를 걸어보니, 미사용을 해도 환불은 되지 않는다는 말 뿐.혹여 이런 사례가 더 있나 싶어 찾아보니 10건도 더 넘게 나옵니다.하루에 10건의 피해, 한달에는 얼마나 많은 사람들이 피해를 볼까요?잠금장치를 2분 동안 풀지 못하면 강제 반납이 된다는건데.대체 그 2분은 왜 존재하는건지 납득이 안 갑니다.어둠 속에서, 그것도 처음 이 시스템을 접하는 사람들이, 헤매지 않고잠금 장치를 해제하기란 결코 수월하지만은 않습니다.수정되어야할 점.1. 잠금장치 해제 설명이 직관적이어야합니다.2. 미사용시 환불이 순조로워야합니다.따릉이 관련 피해 기사와 다른 피해자분들의 글 첨부합니다.한 사람에겐 1000원이 티끌모아 태산이 될 수도 있는데,'규정' 이라는 이유 만으로 피해 사용자에게도 환불 해주지 않는미개한 규정. 멈춰주세요."
환경/공원/상수도,안녕하세요 .한강에서 아들과 함께 카약을 타려고 구매를 하였습니다.다른 블로그등을 보면 그냥 아무 접안시설이 준비된 곳에서 카약을 띄우고 타는것을복재미도 있을거 같고 좋을거 같아 구매했는데..막상 타려고하니수상레저스포츠 신고 / 수상레저허가지역이 있는거 같은데요..수상레저허가지역이 어디에서 어디까지인지 어떻게 확인가능한가요?수상레저스포츠 신고 는 해당 지역 경찰서에 해야된다는데정확한 신고 방법이나 꼭 해야되는건지 문의드립니다.주로 한강 잠실한강 공원 지구에서한강공원 양화지구 까지 왕복?? 편도??로 다닐 예정입니다.밤섬도 한번 가보고 싶습니다.자세하게 확인 부탁 드립니다.
환경/공원/상수도,창경궁로 아름드리 가로수가 도로 및 문화재 복원 공사에 의해 벌목으로 제거된다고 하는데 사실인지요. 서울의 근대사를 품고 있는 가로수를 제거하면 안된다고 생각합니다.
교통,@seoul_eds 서울시 자전거 따릉이 스마트폰 앱이 안드로이드용만 있네요. 아이폰용 앱은 언제 나오나요? 설마 안만들어주시는 건 아니죠??
환경/공원/상수도,아차산역에서 천호대로 방향 공사 몇년째 입니까?언제 끝나고어떻게 마무리 되는지제대로 공개와 입체 사진으로 게시해 주세요또한 길포장상태에 제대로 다듬으면서 해주시고특히광나루역에서 광장동쪽으로 우회전하면 경찰서 맞은편 찻길상수도 공사후맨홀뚜껑이 너무 솟아 있어운전할때 너무 불편합니다.재 시공 부탁드립니다.
환경/공원/상수도,"○○○ ○○○○이며, 차세대 이동수단이며, 친환경 (무소음,무매연)인 전동휠(○○○○,○○○,○○,○○○)을 한강 자전거도로에서 타지 못하게 판넬을 설치하고 과태료 부과한다고 광고광고를 해대놨네요?? 이미 기사에도 나왔고 정부차원에서 규제완화하는걸로 입법 예고 되었는데 한강사업부는 왜 시대에 역행하는 제재를 가하는겁니까! 안전하게 사고발생을 줄일 수 있는 규칙을 만들 생각은 안하고 아예 진입을 불가시켜버리면 어쩌자는겁니까. 그래서 한강 자전거도로에서 못타고 서울시 공원에서도 못타고 차도에서 타라 이거요? 그러다가 차에 치여 다치거나 죽으면 개인 책임으로 돌릴거 아닙니까? 이게 무슨 무책임한 행위입니까! 공무원은 국민을 위해 존재하는거지, 자기네 한강사업부의 안위만을 생각하며 국민을 위험으로 내모는건 잘못된 행위죠. 외발휠의 경우 조례에 해당하지는 않으나 위험 요소 때문에 자체적으로 제한 시키네요. 아주 없던 법도 만드시네요. 이러니까 차세대 산업분야인 ○○○ ○○○○ 시장을 다 중국에게 뺏기고, 대한민국 중소기업들의 발전을 가로 막고 있는것 아닙니까. 올해 말에 자전거도로 허용 법안 발효되면 그제서야 다 제재한거 취소할 겁니까? 과태료 부과해서 받은건 다 챙기구요? 시대 흐름 좀 읽으세요. 한강에서 자전거도로에서 못타게 막아서 차도로 내몰렸다가 사고 나는 것들에 대해 뭐가 더 큰 위험을 자초하는건지 생각 좀 하시기 바랍니다.자전거도로에 전동휠 규제 당장 해제하시구요, 모든 이동 수단의 헬멧 착용과 안전속도나 규제하세요!!"
환경/공원/상수도,서울시에 살고 있는 두아이 엄마 입니다애들 교육 때문에 며칠동안 호현당이랑 정보원 가면서 남산공원 주차장을 이용하고 있는데잘 있던 분수대도 없어지고매점도 있었던거 같은데 없어지고이 더운날 시원한 음료수 하나 사먹을 곳이 없네요애들 방학이라 2주는 더 다녀야 할 것 같은데 너무 덥고 힘듭니다일하시는 분께 물어보니 매점 같은게 들어오는거 같던데 뭐라도 빨리 만들어 주세요언제쯤 만들어 지는 건지 꼭 알고 싶습니다
환경/공원/상수도,"민원보다는 제안에 가까운데 환경과를 못찾아서 여기에 글 올립니다.혼자사는 가구로서 음식물 쓰레기 봉투를 가장 작은 2L를 쓰는데도 다 못채우고 냄새때문에 그냥 버리게 되어 아깝게 생각합니다.이에 음식물 쓰레기 봉투 디자인을 현재 묶는 방식이 아니라지퍼백처럼 만들어 주시면, 오물이 세지도 않고,냄새도 안나고 용량도 미달하거나 오버하지도 않고 적당량을 채워 버릴수 있을거 같아서 이렇게 문의 드립니다.첨부사진 확인 부탁드립니다.(음식물쓰레기 사진입니다.저렇게 버리는건 아니고 냄새때문에 저렇게 놔둔겁니다.)"
교통,서울시 관광버스 주차 및 주정차 딱지 연속적으로 끊고있고 업무상 주차장도없고 주차할곳도 없는 서울시에서 딱지를 무분별하게 끊고 손님이 내리는 도중에도 딱지를 끊는경우 해결 방안을 제시해주시기바랍니다
교통,개인택시 서울○○아○○○○○○○님 차량에 타서 부산으로가기 위해 김포공항에 갔습니다.핸드폰을 두고내려 5분만에 전화했더니 15분뒤에 왔는데 ○만원을 요구해서 비행기시간이 늦어서 ○만원만 주고 왔는데 원래 서울시는 본인핸드폰을 찾는데 돈 줘야하나요?참 어이가없네요.
교통,"따릉이를 자주 이용하고 있습니다.어제도 따릉이를 이용해서 청계광장에서 외대앞까지 이동후 지하철로 환승해서 퇴근을 하게되었습니다.평소 이용시 안내문자는 세번 정도 오늘걸로 알고 있습니다.대여대여종료이전안내반납안내, 어제도 대여종료이전안내를 받고 시조사앞에서 반납후 같은 따릉이를 재 대여해서 외대까지 이동을 하였습니다.외대에서 반납후 지하철을 타고 집으로 가다가 다른 문자를 확인하던 중 따릉이 반납안내 문자가 오지 않은것을 알게되었습니다. 혹시 락을 걸지않고 거치대에 두고 왔나하는 불안감에 콜센터로 확인하려고 전화를 계속 시도하였습니다. 시간은 7시 40분경이었는데 계속 이전 콜을 받고 있다는 안내만 나오고 자동연결된 다산콜센터도 마찬가지 안내만 계속 나오고 있었습니다. 전화를 계속하면서 도봉산역까지 이동하게 되었는데 불안해서 다시 반대열차를 타고 외대로 이동을 하면서도 계속 전화를 시도했습니다. 결국 다시 외대에 다 왔을때쯤 18번만에 상담원과 연결이 되었습니다. 따릉이 반납여부를 확인하니 잘 반납되었다고 하네요. 저는 40분동안의 불안감이 울화로 치밀어 올랐습니다. 퇴근시간은 12분이 아까운 시간이고 운동시간을 아끼려고 퇴근하면서 따릉이를 탈정도로 시간을 아껴쓰고 있는데..너무 어이가 없었습니다. 두가지만 제대로 되었어도 일어나지 않았을 일입니다.1. 따릉이 반납 문자가 정확하게 도착2. 콜센터 통화 또는 반납확인 등 단순한 문의 ARS 안내저는 어이없이 소중한 시간을 낭비했지만, 앞으로도 계속 이용할 시민으로써 개선되기 바라며 글을 올립니다.또한 시민이 소중한 시간과 에너지를 낭비했을때 근거가 있을 경우 차비등 실비를 보상해주는 제도도 있으면 좋겠습니다.미안하다는 상담원의 말만으로 도저히 양해가 되지 않았습니다."
환경/공원/상수도,"우리 의 생명수 아리수를 항상 고맙게 귀중하게 사용하고 있습니다.의문점이 있어 질의 합니다.1. 아리수의 성분 분포2. 아리수를 한번 끓였을경우3. 끓인 아리수를 재탕...4. 다시 끓였을때...아리수 생수, 1번끓였을때, 2번끓였을때, 3번끓였을때..어떤 분이 카페에 반복해서 끓이면 인체에 해로운것 물이 되어 먹으면 해롭다고 글을쓴것을 보았습니다. 믿을수가 없어 질의 합니다."
환경/공원/상수도,○세대 입주해잇는 작은 빌라인데101호에서 개새끼가 밤낮가리지않고 깨깽깨갱 거립니다 이사람들이 괴롭히는건지 자꾸 소리내서자다가도 깨고 낮에도 시끄러워서 스트레스받습니다저번에 한번 누가 신고해서 경찰도왓다갓는데 계속그러네요개못키우게 하거나 퇴거시킬수있나요 정말 스트레스받아서 머리 다빠지겟습니다항상 불철주야 수고하십니다.
교통,"저는 차량 서울 ○○로○○○○의 차주였습니다.7월에 폐차를 완료 하였는데, 2016년 하반기 자동차세가 나와 이의를 신청합니다.폐차를 진행하느라, 관련된 자동차세, 과태료 등을 이미 납부 한 상황입니다."
환경/공원/상수도,"업무에 수고많으십니다.다름이 아니고 요즈음 방송에 보도된 초중등학교 운동장에 설치된 우레탄 재질에서 기준치를 초과하는 환경오염 물질이 발생된다는 기사를 보고 문의드립니다.저는 여의도공원내에 보행로에 설치된 약 2.5km의 보행로를 아침마다 운동삼아 걷고 있는 서울시민의 한사람입니다.바닥재가 쿠션이 있어서 걷기에도 편리하여, 감사하게 생각하고 있습니다만,보도된바 우레탄 재질에서 환경오염 기준을 초과하는 오염물질이 발생되고 있다는 뉴스를 보고는, 제가 이용하고 있는여의도 공원 내의 보행로에 설치된 우레탄 바닥은 이상이 없는 것인지 확인을 받고져 합니다.여의도공원 홈페이지에도 그러한 안내 소식이 없어서 민원제안 신청으로 문의드리니 알려주시면 감사하겠습니다.문의자 ○○○"
교통,5712번과 642번 버스노선 바뀌었나요??642번에서 654번으로 바뀐 이유는 무었인지 궁금합니다.
건강/식품위생,"응답소에 말씀드릴 사항이 아닐지도 모르지만,제 생각엔 여기에 말씀을 드려야 ○○아쿠아리움 측에 그나마 전달이 되지 않을까 하는 생각이 들어서 응답소를 찾았습니다.방학을 맞이하여 아이들과 ○○아쿠아리움을 오늘 처음으로 방문했습니다.벨루가 고래가 유명해서 기대를 했었는데요.커다란 고래 2마리가 헤엄치기에는 수조가 너무 작았습니다.고래의 피부가 길게 긁힌 자국도 많이 보였습니다.수조를 뱅뱅 돌때 벽과 유리에 부딪히고, 수조 안의 돌장식에 긁힌 상처로 추측되었습니다.고래는 포유류이고, 지능이 높은 동물로 알고 있는데,그런 고등동물에게 제공된 환경이 너무 잔인하다고 생각되었어요.○○아쿠아리움 측에 벨루가 고래의 생활환경을 개선하라고 해주세요.그런 부적합한 환경에서 벨루가고래를 가지고 장사하도록 허락한 곳이 어딘지 알고 싶습니다."
교통,"방배동에 거주하는 시민으로 매일 내방역을 이용하는데 있어, 금년초(2~3월)부터 내방역사내에 에스컬레이터 신설공사를 시작하며 안내문에 의하면 4월중 개통이라 해놓고 월말이 되면 달만 바꾸어 5월중,6월중,7월중 개통예정이란 미이행 기만적인 행태만 늘어 노음과 아울러, 비싼 공사예산을 들여서 신설함에 있어 용도적으로도 크게 개선적으로 공사 해 놓았다 판단도 안됨(총 25계단중 중간하단부 돌계단 8계단이 혼용됨 으로서 오히려 불편함과 이용자에 따라서는 추락 등의 위험성도 내재됨),본인이 판단 했을때 메트로 어떤 역에서도 이와같은 구조는 본 적이 없는바 본 공사는 처음부터 신중하게 고려도 안된거 같고 현재 벌여논 행태에서 내방역을 이용하는 누구나가 이구동성으로 원성(불만)을 표현하는 것을 보고 있자니 시행청이나 감독관리청이나 실패한 사례로 보여집니다.따라서 조속하게 개통을 하던지 아니면 시간이 다소 걸리더라도 원초적인 근본 개선점(일체형 자동식)을 찾아 시정 해 줄 것을 강력 촉구합니다.#요구사항 1.설계계획안 2.공사공정표/총 소요예산 3.안전도의 문제점 4.현상태에서 원점 재공사 여부 등에 상세 답변을 요합니다."
환경/공원/상수도,안녕하세요.얼마전 서울시에서 노후경유차 단속 뉴스를 보고 몇가지 질문을 드립니다.1.타 지역에 등록된 노후된 경유차는 서울시에 진입이 가능한지?예를 들어 부산시에 등록된 99년식 경유차도 똑같이 서울시에 진입이 제한되는지요.2.매연 절감장치 설치한 노후 경유차는 진입이 가능한지?확실하지는 않지만 매연 절감장치를 부착한 노후된 경유차량은 진입이 가능한 것으로 알고 있습니다. 만약 장치설치 시 진입 가능하다면 기준은 무엇인가요?감사합니다.
문화/관광/체육/디자인,"잠실야구장 주차 운영에 분통이 터지네요. 경기 30분전 도착해서 정문 주차대기하고 있는데 정문 주차가 안된다며 야구장을 끼고 강변북로까지 한바퀴 주차대기를 시킵니다. 한바퀴돌아 동문? 에 가면 차량통과하는 입구를 하나만 개방해놓고 그마저도 3분에 한대씩 통과시킵니다. 주차하려고 대기만 1시간을 하다가 경찰이 오니 경기시작 30분이 지나서야 출입문을 하나 더 여네요. 출입문을 통과하면서 왜 문을 막고 통제하냐고 하니 주차차량이 만차라고 합니다. 더 어이가 없는건 안에 들어가면 주차공간 충분하고 주차대기도 필요없다는것입니다. 상황을 보니 주차인력이 부족해서 관리하기 편하려고 그러는거 같은데 그따위로 관리할거면 주차비는 왜 받나요? 야구장 일대 교통마비 시키고 사람들 시간뺏고 정말 화가 나서 이렇게 글 남깁니다. 대중교통을 이용하면 이럴일없다고 하겠지만, 정말 주차가 안되는게 아니라 주차 운영이 개판이라 화가 나는겁니다. 그렇게 줄을 길게 서있는데 3분에 한대씩 넣는게 말이 됩니까? 그러다 경찰오고 하니 갑자기 출입문 개방하고 자리가 없어서 그렇다는 말도 안되는 소리하면 납득이 됩니까? 없던 자리가 경기시작하고 30분이 지나서 다 생겼나요? 경기 시작한지 30분만에 사람들이 다 나갈리도 없고 나가는 차량을 보지도 못했는데 시민을 우롱하는 행태로 밖에 안들립니다. 야구장 주변 교통마비 시키고 이게 뭐하는짓입니까? 정말 주차공간이 부족하면 말도 안합니다. 서울시에서 운영하는 주차운영팀이라면 정말 관리 좀 제대로 하시고 다른 사업자가 운영하는거라면 법칙금과 더불어 관리 좀 하시기 바랍니다. 경찰은 뭐합니까? 몇번 와서 그냥 보고 가고.."
건강/식품위생,"안녕하세요7월 ○○일(○) 종로구 ○○산 ○○동 계곡에서 가족과 산책 중 목줄을 하지 않은 애완견에 아이가 쫓기고 위협을 당하였습니다.목줄을 하지 않은 견주를 신고하려 112에 전화하였으나 120번 다산콜센터에 연락하라는 통보를 듣고 120번으로 여러 번 통화를 시도하였으나 연결이 되지 않았습니다.네이버와 구글에 목줄 안한 개 신고를 검색하니 목줄을 하지 않을 시 견주가 과태료를 문다고 되어 있을 뿐 일반 시민이 신고가능한지, 신고 절차는 어떠한지에 대한 정보를 찾기 어려웠습니다.목줄을 하지 않아 행인을 위협하는 개를 만나면 개와 견주를 함께 사진을 찍고, 그들의 신원을 확인하여 구청에 신고하여야 하는지 혹은경찰에 연락하여 그 분들이 올때까지 잡아두야 하는지 모르겠습니다.현실적으로 서로 감정이 좋지 않은 상황에서 견주의 신원을 알아낼 수 있을지 모르겠구요.1. 과태료 부과에 대한 홍보를 하고 계신 것으로 알지만 피해를 입은 시민이 이를 어떻게 신고할 수 있는지에 대해 인터넷 게시글 하나라도 올려주시면 감사하겠습니다.2. 혹시 시민이 신고를 할 자격이 없다면 식파라치처럼 신고를 할 수 있도록 열어주시면 더욱 감사하구요.3. 만약 그도저도 여의치 않다면 공원 입구에 목줄을 하지 않는 개를 위한 목줄 대여를 시행하면 어떨까 합니다. 부스만 세워놓고 자율적으로 운영하면 목줄을 하지 않은 개가 줄어들고 이로 인해 노약자들이 안심하고 공원을 이용할 수 있을 것 같습니다."
환경/공원/상수도,"안녕하세요.한강공원을 자주 이용하는 시민입니다.한강공원내에 전동킥보드와같은 동력장치들은 출입을 금지하는 조례가 있던데 한강공원에서는 단속은 물론 금지사항을 알리는 문구조차 본적이 없습니다. 단속 또한 한번도 보지 못했습니다.한강공원 내에서 전동킥보드와같은 것들을 타는 사람들 대부분이 대여해서 즐기고 있는데 대여소에서도 한강내에서 타면 안되는것과 면허가 필요하다는 것을 알려주지 않는 곳이 있기 때문에 한강공원에서 즐기는 사람들 대부분이 이 부분에 대해서 모르고있고 면허가 없이 처음 타는 사람이 많아 위험한 상황도 자주 보입니다. 특히 여름철은 공원을 찾는 시민들이 늘어 더욱 위험해보입니다.한강공원에서 전동킥보드를 타다 사고가 나더라도 결국 불법인 전동킥보드 사용자가 제일 큰 보상을 해야 할텐데 이렇게 금지사항에 대한 홍보가 미약하면 안될 것 같습니다.한강공원에서는 금지사항에 대해 더 크게 알리고 대여소에서도 면허소지, 한강공원내에서 금지라는 항목에 대해서 필수로 공지하도록 하였으면 합니다."
건강/식품위생,"서울에 살고 ○○○으로 출퇴근하는 평범한 서울시민입니다.저도 여느 직장인처럼 버스와 지하철을 타고 회사에 가는데요.그런데 안 그래도 힘든 출근길(사실 집 밖에서는 항상;)에 저를 더 힘들게 하는것이 있습니다. 바로 담배입니다.버스정류장에도 금연표시가 있지만 옆에서 피고있고, 그 버스정류장이 학교앞이어서 아이들이 지나다녀도 그 분들은 아랑곳 하지 않습니다. 지하철입구도 금연구역이지만 반경이 아닌 출입구에서 직선거리로 계산하시는지 입구 옆쪽에서 담배를 피워댑니다. 뿐만이 아니라 광화문 역을 나와서 회사로 걸어가는 길에도 걸어다니며 담배피는 사람들이 많습니다. 오늘은 어떤 분이 광화문역에서부터 걸으면서 담배를 피우는 것도 모자라 건널목에서도 피우고 계셔서 ""건널목 옆에서 피우시면 안되는거 아닌가요? 그리고 뒤에 내내 담배냄새 맡고 왔어요.""라고 한마디 했는데도 들은체도 안하고 계속 피우면서 걸어가셨습니다.또한 지방출장이 있어서 서울역을 종종 가는데 그 곳도 마찬가지 입니다. 서울역입구에 흡연공간이 있어도 다들 그 앞의 공간에서 피우고있어서 역에서 나와서 시원한 공기를 마시고 싶었지만 담배연기만 폐속으로 한가득 들어옵니다. 서울역은 특히나 정말 많은 유동인구가 지나다니고 그만큼 불편한 사람도 많을 것이라고 생각하고 민원을 넣어보려하였으나 서울시 담당부서는 서울역에서 담당하니 그쪽에 전화해보라고 하였습니다. 하지만 서울역에서도 담당부서 번호를 찾을수 없었습니다.이 같이 금연구역으로 지정 하거나, 흡연공간을 만들어도 아무도 지키지 않는 모습들을 계속 마주하다 보니 '이 규칙들은 그저 보여주기 식으로 만든것인가?' 라고 느껴지기까지 합니다.이런 상황은 저만 겪는 것이 아닌 것으로 생각되어 민원 남깁니다.제발 비흡연자들에게 깨끗한 공기를 돌려주세요."
환경/공원/상수도,"@seoul_eds 옥상 태양광발전을 설치하려는데, 지원 받을 수 있는지 궁금합니다"
주택/도시계획/부동산,"역세권2030청년주택사업의 취지는 매우 좋습니다.용적율 상승에 따른 토지일부를 공공기여로 제공하는 것도 동의합니다.그런데 임대아파트 10 ~ 25%를 공공임대아파트로 서울시에 기부체납하는 것은건물소유자 입장에서는 매우 불편합니다.건물 전체를 소유하고 있다가 일괄매각해야 되는데 건물중 일부를 서울시가 소유하고 있으면 건물 알박이로 인정,매각이 어렵습니다.또 나중에 재건축을 할 경우에도 임의로 할 수 없고 주택 임대사업을 하는데도 임대료 불평등의 요인이 되어 임차인 모집에도 장애가 됩니다.시에서는 시프트도 그렇게 했다고 하지만 시프트는 분양주택이므로 사업주 입장에서는 유리합니다.어차피 팔아야 되는데 서울시가 안정적으로 사가겠다고 하니 백번동의할 수 있습니다.따라서 본 사업에서 공공기여를 공공임대아파트 기부체납 외 현금정산방법도 도입하면 좋을 듯 합니다.즉,공공임대아파트 기부체납 세대수에 대해 감정평가하여 표준건축비를 원가로 공제하고 일부금액을 개발이익금으로 납부하는 방법입니다.그러면 역세권에 토지를 소유한 사람들의 참여가 많을 것으로 사료됩니다.서울시가 좋은 제도를 수립하여 설명회까지 성대히 한 만큼 기대 성과를 갖기 위해서는 사업주가 실제 참여할 수 있도록 제도를 보완하는 것이 좋을 것 같습니다.또한 서울시는 개발이익금으로 또다른 임대아파트를 저렴하게 매입할 수도 있으니 일석이조의 효과를 거둘 수 있습니다.감사합니다."
환경/공원/상수도,"안녕하세요. 서울에서 37년 간 생활한 시민 입니다.해외 여러 수도를 돌아다니다 보니 오히려 서울에 대한 애정이 더 생겨서 이렇게 글을 올립니다.1. 제안 : 한강시민 공원 핫플레이스 텐트 설치 금지2. 사유 : 일부 시민들의 핫플레이스 지역에 장시간 개인 영역 사용으로 인해(텐트 설치 후 다른 시민들이 그 지역을 사용할 수 없음) 다수 시민들이 피해를 입음.3. 상세 : 예를 들어 여의나루 물빛광장의 경우 일부 시민들이 물빛광장 바로 앞에 텐트를 설치, 자신들의 영역을 만들어 그들만의 지역으로 사용하고 있으므로 다수의 시민들이 사용을 못 하고 있음. 또한, 미관상 좋지 않음.4. 해결 방안 : 한강 시민 공원 핫플레이스 지역은 텐트 설치 금지 구역으로 지정.따로 텐트 설치 가능 구역 설정하여 그 구역 내에서만 텐트 설치 가능하게 함.실제 한강 시민공원 캠핑가능 구역 보다 이외에 지역에 개인 텐트를 더 많이 설치함.그 이유는 당연함. 비용을 지불하면서 궂이 캠핑가능 지역을 사용할지 않아도 다른 곳에 무료로 개인 텐트를 설치하면 됨.결론은 핫플레이스 텐트 설치 금지!, 현재 캠핑 지역을 폐지!(사용률 저조), 텐트 설치 가능 지역을 재설정 및 유료화!단 한번만 이라도 주말에 한강시민공원을 방문하여 관심을 갖고 문제점이 뭔지를 생각했더라면 이정도까지 오지 않았으리라 생각합니다.제발 많은 시민들이 다함께 기분 좋게 이용할 공원으로 만들어 주세요~"
환경/공원/상수도,안녕하세요 ○○구에 살고 있고 서울시 둘레길을 좋아하고 완주가 꿈인 서울시민입니다.올 5월쯤 노원 둘레길 해설사 양성과정교육이 있다는 소식을 듣고 신청하여 5월 중순부터 얼마전인 7월 중순까지 서울 둘레길 1코스인 노원구지역의 수락산과 불암산 코스를 꼼꼼히 살펴 볼 기회를 가졌습니다.교육에 참여하며 주최단체인 힐링협동조합인 느티나무단체에 감사하는 마음을갖고 있었는데 알고보니 이 사업이 서울시제안사업에 선정된 사업이었더라고요!! 이에 이렇게 서울시청홈페이지에 더큰 감사의 말씀드리고 싶어서 게시판에 글을 씁니다.약 3개월의 시간동안 좋은 프로그램과 명강사들과 함께 서울둘레길 1코스를 둘러 보고 서울시민으로서 서울의 환경과 문화에 대해 생각해볼 수 있는 기회를 갖게 해주셔서 감사합니다.저는 두아이의 엄마이고 육아에만 힘쓰는 하는 일 없는 잉여인간이었었는데 3개월동안 노원둘레길해설사양성과정교육덕분에 몸도 더 건강해지고 정신 또한 건강해짐을 느꼈습니다.앞으로도 이런 교육 힐링 프로그램이 많이 제안되고 선정되어서 서울시민들에게 제공되길 바래봅니다.또한 전문직업인은 아니지만 서울시민으로서 둘레길을 해설해줄수 있는 재능기부의 기회도 많이 가질수 있었으면 좋겠고 이번 해설사양성과정을 시작으로 계속해서 관련 (기초 전문 심화 등등)과정이 생겨나서 서울시민해설사로서 자부심과 자긍심을 가질 수 있게 되었으면 좋겠습니다.한여름 열정이 넘쳐나는 사람들과 함께 할 수 있어서 행복했고 서울시청에게 다시한번 감사함을 느낍니다.
기획/감사/교육/정보화/마을공동체,안녕하십니까.서울시 발전을 위해 노고가 많으십니다.최근 제가 속한 회사에서 시민청 태평홀을 빌려 행사를 진행하였습니다.모든면에서 만족하였으나 다만 한가지 아쉬운 점이 있어 개선 요청드립니다.시설 규모에 비해 조명이 열악하여 원활한 행사 진행 및 사진기록이 아쉽습니다.특히 단상에 조명이 없어 행사 진행에 어려움이 있어 개선 건의합니다.감사합니다.
교통,시장님 안녕하세요 매일 출근할때마다 신논현역에서 양재역 방향으로 버스 중앙차선이 너무 막힙니다 강남역까지 한정거장을 20 분정도 걸려서 가는데 뭔가 개선이 필요해 보입니다 중앙차선이 일반차선보다 훨씬 느려요ㅠ
